prod_notif_no,prod_name,holder_name,prod_status_date,prod_status_type,prod_brand,prod_category,banned_substances,holders_id
NOT220906483K,Celmonze - Pro-Vitamin C+ Massage Cream,CELMONZE SDN. BHD.,29-09-22,Clear,Celmonze,Moisturizer,,387
NOT220801550K,MIA COSMETICS BEYOND COVERAGE FOUNDATION 06,RAMS HOME DECOR SDN BHD,04-08-22,Clear,MIA,Foundation,,1675
NOT220805921K,BANYAN TREE CLARITY MASSAGE OIL,LUMAYAN INDAH SDN BHD,25-08-22,Clear,BANYAN,Other,,1176
NOT221101617K,MARIO BADESCU - SEAWEED NIGHT CREAM,CREA MALAYSIA SDN. BHD.,09-11-22,Clear,MARIO,Moisturizer,,433
NOT221004058K,Jimmy Choo - I Want Choo Forever Perfumed Body Lotion,ASIALUSH SDN. BHD.,20-10-22,Clear,Jimmy,Moisturizer,,152
NOT220905519K,RENEUF HYDRATING FACIAL MASK PADU BINCHOTAN MASK  SERIES,Jacques Cosmetics (Malaysia) Sdn Bhd,26-09-22,Clear,RENEUF,Mask,,1021
NOT161100256K,Maybelline The Rock Nudes - 7,LOREAL MALAYSIA SDN. BHD.,01-11-22,Clear,Maybelline,Other,,1166
NOT221002361K,ESTEE LAUDER PURE COLOR LIPSTICK MATTE - 612 LEAD YOU ON (GRFW31),ESTEE LAUDER MALAYSIA SDN. BHD.,12-10-22,Clear,ESTEE,Lip,,636
NOT220803976K,Just 4 U Shower Cream Brightening & Double Moisturising,AF MANUFACTURING SERVICES SDN. BHD.,17-08-22,Clear,Just,Moisturizer,,54
NOT221205724K,Victoria's Secret Fragrance Lotion Peony Emerald Woods,ENVICO ENTERPRISES SDN. BHD.,22-12-22,Clear,Victoria's,Moisturizer,,618
NOT221201059K,RARE BEAUTY - SOFT PINCH MATTE LIQUID BLUSH - BLISS,BEAUTY IN MOTION SDN. BHD.,06-12-22,Clear,RARE,Perfume,,255
NOT221001394K,KOPARI - PINK GLOW EXFOLIATING BODY POLISH,BEAUTY IN MOTION SDN. BHD.,08-10-22,Clear,KOPARI,Other,,255
NOT221204195K,GERNETIC -LIFT CREAM,GERIS MARKETING SDN. BHD.,18-12-22,Clear,GERNETIC,Moisturizer,,756
NOT221103149K,GUERLAIN ROUGE G DE GUERLAIN THE LIPSTICK SHADE EXEPTIONAL FORMULA - N918 RED BALLERINA,L BEAUTY SDN. BHD.,14-11-22,Clear,GUERLAIN,Lip,,1098
NOT221205789K,ELIXIR BRIGHTENING MOISTURE AIRY CREAM,SHISEIDO MALAYSIA SDN. BHD.,22-12-22,Clear,ELIXIR,Moisturizer,,1780
NOT221203916K,Diona Skin Tonic,SYEN BEAUTY SDN BHD,16-12-22,Clear,Diona,Other,,1904
NOT221202187K,Suisse Programme Advanced Cellular Skin Radiance Serum,HONG KONG SA SA (M) SDN. BHD.,09-12-22,Clear,Suisse,Serum,,880
NOT221204913K,GLOW RECIPE - STRAWBERRY SMOOTH BHA + AHA SALICYLIC SERUM,BEAUTY IN MOTION SDN. BHD.,20-12-22,Clear,GLOW,Serum,,255
NOT220903623K,BOY DE CHANEL Eyebrow Pencil - 208 Black,CHANEL (KUALA LUMPUR) SDN. BHD.,16-09-22,Clear,BOY,Eye,,390
NOT220900162K,STILA - STAY ALL DAY LIQUID LIPSTICK - VALENTINA,BEAUTY IN MOTION SDN. BHD.,01-09-22,Clear,STILA,Lip,,255
NOT201007001K,BOTAVITA HOMME ALL IN ONE AQUA SERUM,JT ACE SDN BHD,26-10-22,Clear,BOTAVITA,Serum,,1016
NOT221103185K,Avon Serum Foundation Radiant Finish SPF30 - Creamy Natural,AVON COSMETICS (MALAYSIA) SENDIRIAN BERHAD,14-11-22,Clear,Avon,Serum,,181
NOT160900426K,Loreal Professionnel Hair Touch Up Root Concealer Faded In 1 Shampoo - Black,LOREAL MALAYSIA SDN. BHD.,02-09-22,Clear,Loreal,Other,,1166
NOT201100731K,ageLOC me Night F9,NU SKIN (MALAYSIA) SDN. BHD.,04-11-22,Clear,ageLOC,Other,,1466
NOT180802650K,Young Living Lady Sclareol - Essential Oil Blend,YOUNG LIVING MALAYSIA SDN. BHD.,10-08-22,Clear,Young,Other,,2194
NOT221001249K,TriAngel PERFECT UV PROTECTOR,TRIANGEL TRADING SDN. BHD.,07-10-22,Clear,TriAngel,Sunscreen,,2001
NOT221202133K,UGIE SKIN CARE UV SOLUTION SPF 55,UGIE SKIN CARE,09-12-22,Clear,UGIE,Sunscreen,,2053
NOT221205692K,PINK 24-Hour Moisture Body Lotion Mango Glow Pink Sea Salt & Sweet Mango,ENVICO ENTERPRISES SDN. BHD.,22-12-22,Clear,PINK,Moisturizer,,618
NOT221001171K,VIP NATURAL HAIR COLOUR SHAMPOO -BLACK 180ml,SRI NUUR WANGI TRADING,06-10-22,Clear,VIP,Other,,1856
NOT221000569K,LARISSE FACE & BODY DEEP CLEANSING SOAP,RAFIKA GLOBAL,04-10-22,Clear,LARISSE,Other,,1672
NOT200906150K,Olive Nendoh Freshener Lotion,OLIVE NENDOH SKIN CARE (M) SDN. BHD.,22-09-22,Clear,Olive,Moisturizer,,1513
NOT220801980K,Florihana Cypress Hydrolat,ICHOR ESSENCE ENTERPRISE,07-08-22,Clear,Florihana,Other,,909
NOT201200980K,CAROLINA HERRERA 212 MEN HEROES BODY FRAGRANCE FOR MEN,PUIG MALAYSIA SDN. BHD.,04-12-22,Clear,CAROLINA,Perfume,,1624
NOT220904603K,Leivy Naturally Relaxing Dream Shower Cream with Lavender & Pearl Powder,IVY BEAUTY CORPORATION SDN. BHD.,21-09-22,Clear,Leivy,Moisturizer,,948
NOT220803665K,Sharcart All-in-One Bath Salt (Lavender),PDS Consulting Sdn Bhd,16-08-22,Clear,Sharcart,Other,,1563
NOT180807007K,Urban Decay Vice Lipstick Cream - Disobedient,LOREAL MALAYSIA SDN. BHD.,29-08-22,Clear,Urban,Moisturizer,,1166
NOT220802594K,Dona Rosa Handwash Aloe Vera with Milk Cream,Khobates Industries Sdn Bhd,09-08-22,Clear,Dona,Moisturizer,,1090
NOT221108055K,Elgon Moda & Styling Haircolor Rosso,SCPROF SDN. BHD.,30-11-22,Clear,Elgon,Other,,1753
NOT201107597K,DOLL ALOE VERA PRE WAX TONIC LOTION,PCQ Hair & Beauty Products Sdn. Bhd.,30-11-22,Clear,DOLL,Moisturizer,,1562
NOT220902784K,ANASTASIA BEVERLY HILLS - CONTOUR POWDER KIT - LIGHT TO MEDIUM (JAVA),PREMIUM PRIORITY SDN BHD,13-09-22,Clear,ANASTASIA,Other,,1606
NOT181205231K,Urban Decay Vice Liquid Lipstick - Big Bang,LOREAL MALAYSIA SDN. BHD.,19-12-22,Clear,Urban,Lip,,1166
NOT220802638K,Artdeco High Performance Lipstick N459,HONG KONG SA SA (M) SDN. BHD.,10-08-22,Clear,Artdeco,Lip,,880
NOT220900307K,VALMONT LUMINOSITY LUMICREAM,LEAP COMMERCE SDN. BHD.,01-09-22,Clear,VALMONT,Moisturizer,,1133
NOT221101064K,EK Overnight Masque,BIO LIFE NEUTRACEUTICALS SDN. BHD.,06-11-22,Clear,EK,Other,,287
NOT221201850K,FIOLE BL COLOR RED,R BEAUTE SDN. BHD.,08-12-22,Clear,FIOLE,Other,,1668
NOT221105118K,REVLON COLORSTAY SUEDE INK LIPSTICK - 009 In Charge,X ELITE PREMIUM BEAUTY SDN. BHD.,17-11-22,Clear,REVLON,Lip,,2168
NOT201104383K,Garlatas Amino Acid Ions Straightening Cream,PL COSMETIC INDUSTRY SDN. BHD.,18-11-22,Clear,Garlatas,Moisturizer,,1598
NOT221105052K,KRISTIN ESS HAIR SIGNATURE GLOSS ACTIVATOR,TOHTONKU SDN. BHD.,17-11-22,Clear,KRISTIN,Other,,1983
NOT221203653K,DERMIC EUCARE MOISTURIZING TONER,De Formulated Lab Sdn Bhd,15-12-22,Clear,DERMIC,Moisturizer,,550
NOT181103372K,Screen Dorado Hair Color Cream 4F,LABBELL SDN BHD,16-11-22,Clear,Screen,Moisturizer,,1108
NOT220801414K,Phutawan Coconut Salt Scrub,Techo Marketing Sdn. Bhd.,04-08-22,Clear,Phutawan,Other,,2022
NOT221100046K,Bioglo Ceramide Extra Mild Shampoo,Rank Distributors Sdn. Bhd.,01-11-22,Clear,Bioglo,Other,,1724
NOT221203136K,M.A.C EYE SHADOW - DUABANDITA (M55KCC),ESTEE LAUDER MALAYSIA SDN. BHD.,14-12-22,Clear,M.A.C,Eye,,636
NOT200801922K,YANSNEST MAKE-UP REMOVER CLEANSER 2 IN 1,PEAU BEAU SDN BHD,08-08-22,Clear,YANSNEST,Cleanser,,1567
NOT181106342K,Panco Cucumber Lotion,TONG LIAN TRADING CO.,26-11-22,Clear,Panco,Moisturizer,,1985
NOT201103774K,NATURVITAL Anti-Dandruff Normal Hair Shampoo,BETIME MARKETING SDN. BHD.,16-11-22,Clear,NATURVITAL,Other,,277
NOT221103965K,Bath & Body Works Cleansing Hand Gel A Thousand Wishes for You,ENVICO ENTERPRISES SDN. BHD.,15-11-22,Clear,Bath,Other,,618
NOT161201064K,Rose des Vents Louis Vuitton,Louis Vuitton (Malaysia) Sdn Bhd,05-12-22,Clear,Rose,Other,,1207
NOT200907182K,Natural Looks Tea Tree Spot Control,Devon Laboratories M Sdn. Bhd.,24-09-22,Clear,Natural,Other,,560
NOT201200589K,MAKE UP FOR EVER MATTE VELVET SKIN FOND DE TEINT POUDRE FLOUTEUR BLURRING POWDER FOUNDATION R260,L BEAUTY SDN. BHD.,03-12-22,Clear,MAKE,Foundation,,1098
NOT180906529K,Yves Saint Laurent Face Highlighter Duo Stick Bi-Color Highlighter Stick - 1 Light Clash (Clear Gold),LOREAL MALAYSIA SDN. BHD.,26-09-22,Clear,Yves,Other,,1166
NOT201203941K,SMASHBOX GLOSS ANGELES LIP GLOSS - SORBET WATCH (C4HA23),ESTEE LAUDER MALAYSIA SDN. BHD.,17-12-22,Clear,SMASHBOX,Lip,,636
NOT221107593K,MizuLabs Luminous Arbutin Brightening Scrubbing Mask,ZELCOS MARKETING SDN. BHD.,28-11-22,Clear,MizuLabs,Mask,,2212
NOT200907474K,Bare For Bare Green Tea Body Lotion,Ecolex Sdn Bhd,25-09-22,Clear,Bare,Moisturizer,,660
NOT220902509K,Elianto Sakura Tender Eau De Parfum,AIVORIA GROUP SDN. BHD.,12-09-22,Clear,Elianto,Perfume,,66
NOT201201907K,Neal's Yard Remedies Palmarosa Organic EO,Advanced Apotheke Sdn Bhd,09-12-22,Clear,Neal's,Other,,195
NOT221201920K,Dermeze Moisturising Lotion,Aspen Medical Products Malaysia Sdn Bhd,08-12-22,Clear,Dermeze,Moisturizer,,218
NOT221103669K,Bath & Body Works Aroma Bath Soak Eucalyptus & Lavender,ENVICO ENTERPRISES SDN. BHD.,14-11-22,Clear,Bath,Other,,618
NOT220903739K,SEPHORA - BRONZING POWDER - (01) CALEDONIA - LIGHT,BEAUTY IN MOTION SDN. BHD.,16-09-22,Clear,SEPHORA,Other,,255
NOT220903807K,SEPHORA - 12H RETRACTABLE EYELINER WATERPROOF - (01) MATTE BLACK,BEAUTY IN MOTION SDN. BHD.,16-09-22,Clear,SEPHORA,Eye,,255
NOT221200096K,The Habits Skincare Phytoherbs Acne Elixir,The Habits Skincare,01-12-22,Clear,The,Other,,2030
NOT221004557K,Sir Black Edition Eau De Parfum,NORI MALAYSIA SDN. BHD.,21-10-22,Clear,Sir,Perfume,,1454
NOT221106169K,SR Vitality Repair Emulsion,P & Q Marketing (M) Sdn. Bhd.,22-11-22,Clear,SR,Other,,1549
NOT220708715K,ONE/SIZE - LIP SNATCHER - VELVET FLEX CREAM & CUSHION GLOSS LIP DUO - NO SPEED LIMIT (GLOSS),BEAUTY IN MOTION SDN. BHD.,28-07-22,Clear,ONE/SIZE,Moisturizer,,255
NOT200805847K,Plant Therapy Energy Essential Oil,Mu & Mars Sdn. Bhd.,24-08-22,Clear,Plant,Other,,1396
NOT220902662K,ANASTASIA BEVERLY HILLS - BROW WIZ SKINNY BROW PENCIL - EBONY,PREMIUM PRIORITY SDN BHD,13-09-22,Clear,ANASTASIA,Pencil,,1606
NOT221203812K,CHANEL HYDRA BEAUTY Gel Creme,CHANEL (KUALA LUMPUR) SDN. BHD.,15-12-22,Clear,CHANEL,Perfume,,390
NOT221002692K,BIOLOGIE PIERRE BOUTIGNY CAMPHOR SERUM,Beaute Sdn Bhd,14-10-22,Clear,BIOLOGIE,Serum,,336
NOT201102956K,HERMOSO COLORINSIDER COLOR CREAM - S22,Succezz Enterprise,12-11-22,Clear,HERMOSO,Moisturizer,,1938
NOT200803294K,Apex Cosmeceutical YA001 PA Ampoule,Starbelle Sdn Bhd,13-08-22,Clear,Apex,Other,,1935
NOT221001492K,GUARDIAN ESSENTIAL GRAPEFRUIT REFRESHING GEL HAND WASH,GUARDIAN HEALTH AND BEAUTY SDN. BHD.,08-10-22,Clear,GUARDIAN,Cleanser,,794
NOT201103643K,GUERLAIN ENCENS MYTHIQUE EAU DE PARFUM,L BEAUTY SDN. BHD.,16-11-22,Clear,GUERLAIN,Perfume,,1098
NOT220901801K,OH SO HEAVENLY MOONLIGHT FLORAL HYDRATING BODY LOTION,WIPRO CONSUMER CARE (LDW) SDN. BHD.,08-09-22,Clear,OH,Moisturizer,,2141
NOT221202621K,The history of Whoo Gongjinhyang: Seol Radiant White Moisture Cushion Foundation SPF50+/PA+++ (#21),LG HOUSEHOLD & HEALTH CARE MALAYSIA SDN. BHD.,13-12-22,Clear,The,Sunscreen,,1141
NOT220800673K,CATHY DOLL MAXIMAL EYELINER #02 SEXY BROWN,C TREND MARKETING (M) SDN. BHD.,02-08-22,Clear,CATHY,Eye,,353
NOT201105998K,Perdana Conditioner,FULIAN (M) SDN. BHD.,25-11-22,Clear,Perdana,Other,,718
NOT221106155K,SK-II ATMOSPHERE CC CREAM SPF50/PA++++ (Product code: 90043492),LUXASIA (M) SDN. BHD.,22-11-22,Clear,SK-II,Sunscreen,,1187
NOT220902801K,ANASTASIA BEVERLY HILLS - LIP GLOSS - SOFT PINK,PREMIUM PRIORITY SDN BHD,13-09-22,Clear,ANASTASIA,Lip,,1606
NOT221106709K,Kakishibu Rinse In Shampoo,Golden Corner Sdn. Bhd.,23-11-22,Clear,Kakishibu,Other,,798
NOT221104672K,B.O.M BASIC WOOD BROW PENCIL #01 EBONY GRAY,SAMMOOR BEAUTY SDN BHD,16-11-22,Clear,B.O.M,Pencil,,1738
NOT200902289K,PETITE MAISON PEEL OF MASK 120ML -  PURIFYING,MAGIC BOO BEAUTY SDN BHD,08-09-22,Clear,PETITE,Mask,,1226
NOT200707983K,MILBON ORDEVE beaute The Professional Haircolor b4-NB,MILBON MALAYSIA SDN. BHD.,30-07-22,Clear,MILBON,Perfume,,1309
NOT201104627K,Maybelline Postcards From NYC - The Niu Shine,LOREAL MALAYSIA SDN. BHD.,19-11-22,Clear,Maybelline,Other,,1166
NOT220901859K,NUMI SERUM,AFRINA FA GROUP SDN BHD,08-09-22,Clear,NUMI,Serum,,56
NOT201001130K,PAUL MITCHELL THE COLOR XG PERMANENT HAIR COLOR 8A 8/1,GLU BEAUTY HAIR CORPORATION SDN. BHD.,06-10-22,Clear,PAUL,Other,,775
NOT221004323K,LA BEAU AQUA HYALURONIC ESSENCE,DMI PREMIER SDN BHD,20-10-22,Clear,LA,Perfume,,521
NOT221102863K,KIKIBOX AQUA SPLASH SUNSCREEN,JOKER EMPIRE,11-11-22,Clear,KIKIBOX,Sunscreen,,1007
NOT221106882K,CLARINS HYDRA-ESSENTIEL MATTE GEL,CLARINS SDN. BHD.,24-11-22,Clear,CLARINS,Other,,402
NOT221103282K,TOM FORD SOLEIL GLOW TONE UP FOUNDATION SPF 40/PA++++ HYDRATING CUSHION COMPACT - 3 PEACH GLOW TONE UP (T6N110),ESTEE LAUDER MALAYSIA SDN. BHD.,14-11-22,Clear,TOM,Sunscreen,,636
NOT221107140K,KANEBO MOISTURE ROUGE NEO 154,KANEBO COSMETICS MALAYSIA SDN BHD,25-11-22,Clear,KANEBO,Moisturizer,,1032
NOT200902296K,DrNano Labcel Oxygen Mask,Kiseki Marketing Sdn Bhd,08-09-22,Clear,DrNano,Mask,,1095
NOT221006234K,ETUDE PLAY TONE EYE PALETTE BLUSHED ROSE #1,LUXASIA (M) SDN. BHD.,30-10-22,Clear,ETUDE,Eye,,1187
NOT220708358K,Bandi Gelique Gel Color Coat NO.GSH254 (Today Dark Beige),ZENT CIRCLE SDN. BHD.,27-07-22,Clear,Bandi,Other,,2214
NOT220902483K,W2 Hair Styling Mousse,BEWONDER HOLDING SDN. BHD.,12-09-22,Clear,W2,Other,,278
NOT201001161K,4711 REMIX COLOGNE Eau de Cologne - Lemon,PRESTIGE PRODUCTS ( M) SDN.BHD.,06-10-22,Clear,4711,Perfume,,1607
NOT180706458K,Natura Siberica Copenhagen Reviving Body Scrub Tsar Mulberry 370ml,NATURA ORGANICA SDN. BHD.,26-07-22,Clear,Natura,Other,,1416
NOT221006409K,Boots Vitamin C Advanced Plus Brightening & Anti-Ageing Intensive Serum,L H Uni Distribution Sdn. Bhd.,31-10-22,Clear,Boots,Serum,,1100
NOT220904068K,Nurani Beauty Syampu Rambut Premium Ekstrak Bidara,BIO TAJMEEL COSMECEUTICAL SDN BHD,19-09-22,Clear,Nurani,Perfume,,288
NOT220901485K,Tisserand WHEATGERM Ethically Harvested Pure Blending Oil,EIG DERMAL WELLNESS (M) SDN. BHD.,07-09-22,Clear,Tisserand,Other,,587
NOT220805656K,Victoria's Secret Moisturizing Hand Cream Calm Coconut Milk & Rose,ENVICO ENTERPRISES SDN. BHD.,24-08-22,Clear,Victoria's,Moisturizer,,618
NOT221200952K,Innisfree Green Tea Seed Serum,AMOREPACIFIC MALAYSIA SDN. BHD.,05-12-22,Clear,Innisfree,Serum,,98
NOT221202975K,BOBBI BROWN DUAL-ENDED LONG-WEAR CREAM SHADOW STICK - PLATINUM PINK (E96E61),ESTEE LAUDER MALAYSIA SDN. BHD.,14-12-22,Clear,BOBBI,Moisturizer,,636
NOT221001103K,Maybelline Superstay Vinyl Ink - 130 Extra,LOREAL MALAYSIA SDN. BHD.,06-10-22,Clear,Maybelline,Other,,1166
NOT221000509K,Nunature Hydration Conditioner,Cyren Marketing Sdn Bhd,04-10-22,Clear,Nunature,Other,,462
NOT220903908K,LAIKOU EGGPLANT MUD MASK 5G,SUNMORITY INTERTRADE,17-09-22,Clear,LAIKOU,Mask,,1882
NOT221101728K,WOODY INTENSE,ARABIAN OUD SDN BHD,09-11-22,Clear,WOODY,Other,,126
NOT221005194K,RITUALS SPORT Anti-Dryness Body Lotion,RITUALS COSMETICS MALAYSIA SDN. BHD.,27-10-22,Clear,RITUALS,Moisturizer,,1698
NOT221004235K,WYCON FLAWLESS CANVAS FLUID FOUNDATION WARM HONEY 06,ANAIKA COLLECTIONS SDN BHD,20-10-22,Clear,WYCON,Foundation,,103
NOT221001013K,WELEDA - ROSEMARY BATH MILK,Living Options Sdn Bhd,06-10-22,Clear,WELEDA,Other,,1205
NOT221101451K,Amby London Style Defining - 7 Pomade Hard Fix,MASE INDUSTRIES SDN. BHD.,08-11-22,Clear,Amby,Other,,1251
NOT220801976K,Florihana German Chamomile Hydrolat,ICHOR ESSENCE ENTERPRISE,07-08-22,Clear,Florihana,Other,,909
NOT181101250K,PARFUM KLOVER - BLOSSOM,OPTIMO INTERNATIONAL SDN. BHD.,07-11-22,Clear,PARFUM,Other,,1521
NOT200902705K,SONIC Q STRONG SETTING LIQUID,QQ TRADING,09-09-22,Clear,SONIC,Other,,1660
NOT220901365K,SugarBomb Hot Mess Eau De Tendre,INFINITE OPPORTUNITIES SDN BHD,06-09-22,Clear,SugarBomb,Perfume,,929
NOT200903634K,DrNano Labcel Hydrating Bio Curative Skin Ampoule,Kiseki Marketing Sdn Bhd,12-09-22,Clear,DrNano,Other,,1095
NOT181004884K,FAMIC BLACK SHINE SHAMPOO,KAWAN GLOBAL ENTERPRISE,16-10-22,Clear,FAMIC,Other,,1038
NOT220708269K,AXIS-Y Daily Purifying Treatment Toner,Myeppo Digital Sdn Bhd,27-07-22,Clear,AXIS-Y,Toner,,1398
NOT200804268K,Natura Siberica Polar White Birch Pore Refining Face Cleanser 145ml,NATURA ORGANICA SDN. BHD.,17-08-22,Clear,Natura,Cleanser,,1416
NOT200901739K,Deau Mist Cleansing Water,Kiseki Marketing Sdn Bhd,04-09-22,Clear,Deau,Spray,,1095
NOT200803465K,GUERLAIN PARURE GOLD GOLD RADIANCE FOUNDATION REJUVENATING EFFECT 24H WEAR SPF 30 - PA+++ - 24 MEDIUM GOLDEN,L BEAUTY SDN. BHD.,14-08-22,Clear,GUERLAIN,Sunscreen,,1098
NOT221107526K,OFRA - HIGHLIGHTER - SPACE BABY,BEAUTY IN MOTION SDN. BHD.,26-11-22,Clear,OFRA,Other,,255
NOT221003626K,LEARRA BEAUTY TREATMENT CREAM,JUTAWAN JELITA MARKETING,18-10-22,Clear,LEARRA,Moisturizer,,1019
NOT201005282K,VERONA SAKURA SHOWER GEL,ECO-SHOP MARKETING SDN. BHD.,20-10-22,Clear,VERONA,Other,,577
NOT221204888K,Oxecure Ance Clear Moisturizer,Asia5b Sdn Bhd,20-12-22,Clear,Oxecure,Moisturizer,,217
NOT220906181K,SUGARDOLL HAIR & SKINCARE SUGARDOLL X TYRA KAMARUZZAMAN HAIR MASK COCONUT KISSES,SUGARDOLL HAIR & SKIN CARE,28-09-22,Clear,SUGARDOLL,Mask,,1875
NOT221004245K,WYCON MATT TRICKS LIPSTICK COVER MODEL 03,ANAIKA COLLECTIONS SDN BHD,20-10-22,Clear,WYCON,Lip,,103
NOT221000936K,Parfums Christian Dior Rouge Dior couture colour lipstick floral lip care 080 Red Smile Satin,LUXEPHASE SDN.BHD.,05-10-22,Clear,Parfums,Lip,,1189
NOT181204366K,Kerastase Discipline Oleo-Relax Advanced Control-In-Motion Oil,LOREAL MALAYSIA SDN. BHD.,17-12-22,Clear,Kerastase,Other,,1166
NOT200905285K,Morning Walk Talcum Powder,C H TANG SDN. BHD.,18-09-22,Clear,Morning,Other,,352
NOT181105307K,Shu Uemura Rouge Unlimited - Metallic,LOREAL MALAYSIA SDN. BHD.,22-11-22,Clear,Shu,Other,,1166
NOT220707827K,MOHITO - Hair Nourish Spa TREATMENT,ARVEBE TRADING SDN. BHD.,25-07-22,Clear,MOHITO,Other,,139
NOT200707024K,GOLDEN BEAUTY AYURVEDIC NIGHT CREAM,GOLDEN BEAUTY TRADING,27-07-22,Clear,GOLDEN,Moisturizer,,780
NOT221002262K,LE LABO BERGAMOTE 22 SCENTED BODY BAR (J03C00),ESTEE LAUDER MALAYSIA SDN. BHD.,12-10-22,Clear,LE,Other,,636
NOT220801299K,ALLIES OF SKIN - CERAMIDE MICROBIOME CALMING CLEANSER,BEAUTY IN MOTION SDN. BHD.,03-08-22,Clear,ALLIES,Cleanser,,255
